Company,Mission,Vision,MV
3M Company,"Provide investors an attractive return through sustained, quality growth; Satisfy customers with superior quality, value and service; Respect our social and physical environment; Be a company employees are proud to be part of.","We earn customer loyalty and respect when we effectively differentiate from our competition and leverage the 3M brand identity standards as a vehicle for impact and success. As a diversified technology company, we rely on the delivery of our brand promise","Provide investors an attractive return through sustained, quality growth; Satisfy customers with superior quality, value and service; Respect our social and physical environment; Be a company employees are proud to be part of. We earn customer loyalty and respect when we effectively differentiate from our competition and leverage the 3M brand identity standards as a vehicle for impact and success. As a diversified technology company, we rely on the delivery of our brand promise"
"A. Schulman, Inc.",,"To become the premier global functional coatings and color solutions company, building on our core competencies in glass and color technologies."," To become the premier global functional coatings and color solutions company, building on our core competencies in glass and color technologies."
A.O. Smith Corporation,"The A. O. Smith Foundation is committed to make our communities a better place to live and to work.  We achieve this by partnering with and supporting higher education, cultural and social welfare, medical research, and improved health services in the communities in which we operate.  At the same time, the Foundation encourages A. O. Smith employees around the world to live the company’s values through volunteerism and community involvement.",To be the global leader in applying innovative technology and energy-efficient solutions that provide comfort and convenience to life. We can achieve this vision by delivering water solutions for your home and business.,"The A. O. Smith Foundation is committed to make our communities a better place to live and to work.  We achieve this by partnering with and supporting higher education, cultural and social welfare, medical research, and improved health services in the communities in which we operate.  At the same time, the Foundation encourages A. O. Smith employees around the world to live the company’s values through volunteerism and community involvement. To be the global leader in applying innovative technology and energy-efficient solutions that provide comfort and convenience to life. We can achieve this vision by delivering water solutions for your home and business."
AAR Corp.,To provide health care solutions that makes a difference to life.,To be the provider of choice for innovative and quality healthcare solutions. ,To provide health care solutions that makes a difference to life. To be the provider of choice for innovative and quality healthcare solutions. 
"Aaron's, Inc.","Grow Aaron's into the premier, market-dominant company in our industry, recognized by our customers and peers, as the standard bearer of integrity, honesty and fairness by... 1. Establishing superior operating standards. 2. Executing in detail our proven ",,"Grow Aaron's into the premier, market-dominant company in our industry, recognized by our customers and peers, as the standard bearer of integrity, honesty and fairness by... 1. Establishing superior operating standards. 2. Executing in detail our proven  "
Abbott Laboratories," Focus on advancing patient care by developing innovative solutions in diagnostics, medical devices, nutritionals and pharmaceuticals.","To provide quality for patients everywhere. To meet the needs of patients who live with vision challenges and look for greater freedom from the limitations of eyeglasses, our products include leading laser vision correction and cataract technologies."," Focus on advancing patient care by developing innovative solutions in diagnostics, medical devices, nutritionals and pharmaceuticals. To provide quality for patients everywhere. To meet the needs of patients who live with vision challenges and look for greater freedom from the limitations of eyeglasses, our products include leading laser vision correction and cataract technologies."
Abercrombie & Fitch Co.,Abercrombie and Fitch focuses upon high-quality merchandise that compliments the casual classic American lifestyle.,High-quality merchandise that compliments the casual classic American lifestyle.,Abercrombie and Fitch focuses upon high-quality merchandise that compliments the casual classic American lifestyle. High-quality merchandise that compliments the casual classic American lifestyle.
ABM Industries Incorporated,"To excel in all that we do for our customers, stockholders and employees by expanding our family of services through continuous improvement in the total quality of our services, competitiveness, accident prevention and complete customer satisfaction.",To be the global leader in Integrated Facility Solutions.,"To excel in all that we do for our customers, stockholders and employees by expanding our family of services through continuous improvement in the total quality of our services, competitiveness, accident prevention and complete customer satisfaction. To be the global leader in Integrated Facility Solutions."
"Actavis, Inc.",We develop and manufacture pharmaceuticals of the highest quality. We meet current and future customer needs through smart investments in R&D. We deliver best-in-class service and superior value. We celebrate the many cultures of our global team. We enhance the communities in which we live and work. We build shareholder value in all we do.,"Is a unique specialty pharmaceutical company focused on developing, manufacturing and commercializing high quality affordable generic and innovative branded pharmaceutical products for patients around the world.","We develop and manufacture pharmaceuticals of the highest quality. We meet current and future customer needs through smart investments in R&D. We deliver best-in-class service and superior value. We celebrate the many cultures of our global team. We enhance the communities in which we live and work. We build shareholder value in all we do. Is a unique specialty pharmaceutical company focused on developing, manufacturing and commercializing high quality affordable generic and innovative branded pharmaceutical products for patients around the world."
"Acuity Brands, Inc.","To be the leader in providing innovative, technologically-advanced and sustainable lighting products and lighting-related solutions. ","To provide superior products, services, and solutions that best support the needs of our customers for both indoor and outdoor lighting applications. ","To be the leader in providing innovative, technologically-advanced and sustainable lighting products and lighting-related solutions.  To provide superior products, services, and solutions that best support the needs of our customers for both indoor and outdoor lighting applications. "
"Adams Resources & Energy, Inc.",,, 
