doc,text
1,@JetBlue what happened to our plane meant to leave @ 830? Why do we have to wait for 1 from buffalo? Seems organizational error not weather.
2,"@JetBlue Hey Jetblue, you stranded an entire plane that was supposed to go to JFK and we are getting restless.  Need better communication!"
3,"@SouthwestAir Is there any way to add a Known Traveler Number to an existing reservation online?  If not, why not?"
4,@SouthwestAir - really?  All other carriers are staffed and you've got a triple looped one and no employees in sight in OKC
5,@AmericanAir @USAirways I need to Cancelled Flight a flight I booked earlier tonight. Are you able to do it over Twitter?
6,@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1)
7,@AmericanAir I have no transportation to and going to some other city and getting to NY sometime on Wed?! I'm sorry that's not gonna cut
8,@SouthwestAir Landed in Nashville! Thanks for taking care of us! http://t.co/RYXbPLgMnK
9,@JetBlue it will be glowing. Your crew and your aircraft sparkled. You guys know about @nokidhungry right? Might be a good partnership:)
10,"“@JetBlue: Our fleet's on fleek. http://t.co/pa7dCjXlzL”

C'mon fam😭😭 just. No. Ok?"
11,@AmericanAir cannot understand how you are part of oneworld all other member treat their customers fairly #tcf #oldplanes #damageluggage
12,@JetBlue according to jfk plenty of planes are landing. No problem there
13,@usairways Cancelled Flighted and rescheduled. said I'd have to pay $75 for earlier flight at next gate. Today @delta proactively offered same for $0
14,@united your system is down and after being on hold for over 20 mins -Mia tells me she is going to charge a Flight Booking Problems fee?! Customer service?
15,@JetBlue we have. Twice. They said they can't dim those lights. But they did on our first flight.
16,@USAirways come scoop
17,.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…
18,@SouthwestAir Thanks for sending my kid to the #DestinationDragons concert Vegas @Imaginedragons So awesome! http://t.co/G9b6e0a2sZ
19,@united UNBELIEVABLY DISAPPOINTED. DELAY AFTER DELAY. STOP MESSING WITH MY LIFE.
20,@JetBlue this feels nice - what we've got going on here. Let's just swap me out with the fool in 5a and we can make it all better.
21,@united I don't see how I need to spend an extra $100 bc of ur equipment failure.
22,"@JetBlue NOT A HAPPY CUSTOMER. We've waited patiently, not to mention $150 and six months of marathon training, we need 2 be there tmrw."
23,@united if you lost my belongings then BE HONEST!
24,@USAirways made it! Just! Huge relief - thanks for your help!
25,@united  Thanks for nothing! No Atlanta Lounge? Your Ap says NO. Sure nothing at Terminal T http://t.co/tFjfMSHa2k
26,@USAirways and despite the fact I see you answering all these people on twitter with mundane qs you refuse to answer me!
27,@SouthwestAir now I'm so lucky for my forced good deed I get to be smashed between 2 huge ppl in the exit row. Thank God I'm tiny. 😂💁
28,@USAirways 44 minutes on hold so far. And still haven't spoke to a human. Never using you again.
29,@AmericanAir they will just say dumb things to beat around the bush ! If you're flight Cancelled Flightled be prepared for no compassion from them
30,@USAirways I've been waiting for the callback for EIGHT HOURS. HOW MUCH LONGER?!
31,@united you know what would be awesome? Providing us with complimentary entertainment on your flights. Especially those longer than 6 hours.
32,@united Can I add miles from my January Air China flight to my MileagePlus account?
33,@JetBlue flight 691 from bos to Tampa takeoff 40 min Late Flight
34,@SouthwestAir where is mines?
35,"@SouthwestAir I understand weather is not your fault, but as a frequent flyer I expected better customer service. I'll be trying @Delta"
36,@USAirways But nope!  Apparently this is the way you guys do business!  I guess I'm flying southwest and her blue from now on.
37,"@USAirways flight today showing on time online, not able to check in. Called &amp; told was Cancelled Flightled, put on hold over an hr ago. Help?"
38,@united stellar customer service. You have earned my business by your attention to detail.
39,@JetBlue thank you. We are finally at the gate.
40,@AmericanAir yes I did but no response.
41,@SouthwestAir So today I call into Customer Service &amp; speak with Wendell Holton in the Dallas office &amp; I am told there is nothing he can do
42,@SouthwestAir inflight entertainment.  Tonight a Willie Nelson impersonator sang for the passengers #peanutsandtoons http://t.co/kCDdOD7uFF
43,@united Your MileagePlus signup page is broken.
44,@JetBlue A month ago I had a flight booked but then had to Cancelled Flight it... I'm now Flight Booking Problems a separate flight for a different occasion.
45,@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold
46,@United What idiot designed your seats? Armrest TV remote &amp; resting elbows don't mix. Seatmate keeps changing channels &amp; blasting volume.
47,"@AmericanAir @americanairlines #BQONPA flight #1641 delayed from POS-MIA, missed #2214 MIA- ATL need seat on last flight to ATL."
48,@AmericanAir try this. DPDFPP
49,"@JetBlue Usually I have such a great experience with you guys? Very, very unhappy with you right now."
50,@USAirways they told me to call back Late Flightr
51,"@AmericanAir seems like queue times are very high, in Q waiting for an agent 4 almost  an hour.Flight got Cancelled Flightled. http://t.co/sDm2wvR3zr"
52,@USAirways I'm shutting my data off for the flight. I want some response by the time I land.  You have 2 hours.
53,@JetBlue didn't work. Fly-fi plus couldn't access ABC app. So I spent $19 and still missed Oscars. #disappointed
54,@SouthwestAir any deals to orlando in April/may??
55,@AmericanAir weather is unavoidable. Understaffing is controllable
56,@united so sorry. I ended up on US Air flight. Thank you though for getting back to me:)
57,@SouthwestAir when will the winners of #DestinationDragons be announced?
58,"@united surprise me.  Otherwise, the flight is over and I don't have a good feeling about your airline."
59,@united That's correct—I've spent hours trying to book online only to receive an error when clicking final purchase button. (1/2)
